iter	RMSE
0	1.778924694
1	1.773183604
2	1.764414868
3	1.758886116
4	1.75361445
5	1.744892305
6	1.739314631
7	1.731538002
8	1.724089807
9	1.717203508
10	1.710574613
11	1.70432654
12	1.697203051
13	1.689260627
14	1.679617386
15	1.673804292
16	1.668889761
17	1.663508164
18	1.658911325
19	1.654511676
20	1.649944209
21	1.644980202
22	1.64067475
23	1.635934219
24	1.63232341
25	1.628979633
26	1.623974485
27	1.619122045
28	1.615883071
29	1.611991461
30	1.608119234
31	1.603817573
32	1.600692339
33	1.597106046
34	1.591882241
35	1.589842632
36	1.587616899
37	1.583097395
38	1.578916831
39	1.57553143
40	1.571697629
41	1.568489858
42	1.563051093
43	1.558817505
44	1.555449948
45	1.55066339
46	1.546251607
47	1.543117925
48	1.541383803
49	1.538135332
50	1.535316002
51	1.532222858
52	1.528534772
53	1.525425957
54	1.521843981
55	1.517676983
56	1.513076304
57	1.511099751
58	1.509038239
59	1.506222963
60	1.503939737
61	1.50125826
62	1.497099704
63	1.494993254
64	1.493423615
65	1.49057662
66	1.488604486
67	1.486636501
68	1.484647548
69	1.481226205
70	1.478924865
71	1.475496396
72	1.472923844
73	1.470361672
74	1.468696554
75	1.46738054
76	1.463294423
77	1.460828003
78	1.458324022
79	1.455076165
80	1.453869873
81	1.452062648
82	1.450265738
83	1.447937805
84	1.444076838
85	1.442158836
86	1.438943013
87	1.437167366
88	1.435382053
89	1.433200743
90	1.431148469
91	1.428799768
92	1.426885469
93	1.424654474
94	1.423532825
95	1.420820484
96	1.418576731
97	1.416434959
98	1.415201394
99	1.413589802
100	1.411934547
101	1.410262188
102	1.408895485
103	1.406719904
104	1.404558071
105	1.402780138
106	1.401341813
107	1.399621913
108	1.398261191
109	1.397263985
110	1.395356612
111	1.394993998
112	1.392781457
113	1.390968974
114	1.389386774
115	1.387644696
116	1.386438545
117	1.38408508
118	1.381294396
119	1.379633974
120	1.377831663
121	1.376951655
122	1.37646601
123	1.376076023
124	1.373526339
125	1.371170558
126	1.370107087
127	1.368752884
128	1.367122113
129	1.364736106
130	1.362622603
131	1.360556996
132	1.359375667
133	1.357425613
134	1.356272595
135	1.353150432
136	1.351176045
137	1.349610812
138	1.34774295
